-82.33	52.92
-82.17	53.42
-82.17	53.83
-82.42	54.25
-82.42	54.25
-82.17	55
-83	55.25
-84	55.25
-85	55.25
-86	55.67
-86.83	55.83
-87.5	56
-88.08	56.42
-89	56.75
-90	56.92
-91	57.25
-91.75	57.08
-92.33	56.92
-92.33	57.25
-92.67	57.67
-92.67	58.08
-93.08	58.67
-93.75	58.75
-94.42	58.67
-94.75	59.08
-94.75	59.58
-94.67	60.17
-94.42	60.58
-94.17	61
-93.67	61.5
-93.17	61.92
-92.5	62.08
-92.5	62.58
-91.58	62.75
-90.58	62.92
-90.67	63.42
-90	64
-88.5	64
-87.75	64.5
-87	65
-87	65.5
-86	66.17
-86.75	66.5
-85.5	66.58
-85.08	66.33
-83.75	66.17
-82.67	66.58
-81.42	67
-81.17	67.58
-82.42	67.83
-82.42	68.33
-81.33	68.58
-81.33	69.2
-82.75	69.33
-82.92	69.67
-84.25	69.83
-85.5	69.83
-85.5	69.33
-85.42	68.75
-85.42	68.17
-86.5	67.83
-86.5	67.42
-87.25	67.25
-88.17	67.83
-88	68.33
-88	68.75
-88.92	69.25
-89.92	68.58
-90.67	69.08
-91.33	69.5
-92.42	69.75
-91.33	70.17
-91.92	70.67
-92.67	71
-93.5	71.42
-94.17	71.92
-93.5	72.25
-94	72.58
-93.08	72.75
-91.92	72.75
-91.33	73.17
-90.67	73.58
-90.17	73.83
-91.17	74.02
-93.17	74.17
-95.17	74
-95.58	73.58
-95.25	73.17
-95	72.67
-95	72.25
-95	71.75
-95.83	71.5
-96.25	70.97
-96.75	70.42
-95.67	69.83
-94	69.42
-94.67	69
-94.25	68.5
-95.17	68
-95.5	67.98
-95.83	67.5
-96.83	67.82
-96.92	68.38
-96.92	68.38
-95.58	68.75
-96.42	69.33
-97.92	69.83
-98.58	69.33
-99.58	69
-98	68.58
-98.67	68.25
-98.75	67.67
-100	67.58
-101.75	67.75
-103	68.03
-104.58	68.35
-105.67	68.9
-106.92	68.75
-108.25	68.58
-109	68.25
-107.83	68
-108.17	67.58
-109.25	67.75
-110.25	68
-111.58	67.83
-113	67.67
-114.17	67.83
-115.33	67.83
-115.08	68.17
-114.08	68.3
-114.67	68.72
-116	68.97
-117.5	69
-118.83	69.22
-120.25	69.47
-121.33	69.83
-123	69.83
-123.5	69.37
-124.33	69.42
-124.42	70
-125.33	69.42
-126.17	69.58
-126.67	70.08
-128	70.58
-128.5	70
-129.42	69.83
-129.83	70.25
-131.17	69.98
-132.58	69.67
-133.33	69.38
-134.17	69.58
-135.17	69.5
-135.92	69.17
-136	68.75
-137.33	69
-138.33	69.32
-139.5	69.58
-141	69.62
-141.83	69.83
-142.83	70.08
-144	70.08
-145.08	70
-146.17	70.22
-147.5	70.22
-149	70.47
-150.33	70.48
-151.5	70.48
-152.5	70.87
-154.33	70.87
-154.83	71.13
-156.33	71.33
-157.58	70.87
-159	70.83
-160.42	70.42
-161.58	70.33
-162.67	69.92
-163	69.45
-163.5	69.08
-164.83	68.92
-166	68.83
-166.17	68.33
-165.25	67.98
-164	67.67
-163.5	67.17
-162.5	66.83
-161.75	66.42
-162.17	66.08
-163.75	66.08
-163.83	66.5
-164.67	66.5
-165.75	66.25
-166.83	66
-167.83	65.58
-167.25	65.42
-166.33	65.33
-166.67	65
-166.33	64.67
-164.92	64.5
-163.67	64.58
-162.67	64.42
-161.92	64.67
-161	64.83
-161	64.83
-161.25	64.42
-160.75	64
-161	63.5
-162.25	63.42
-163	63
-163.92	63.25
-164.67	63
-164.83	62.67
-165.5	62.17
-166	61.5
-165.25	61.08
-164.92	60.58
-164.33	60.08
-163.83	59.67
-163	59.67
-162.17	60.08
-161.67	59.5
-161.92	59.17
-161.58	58.75
-161	58.92
-159.58	58.92
-158.92	58.42
-158.67	58.75
-158	58.67
-157.42	58.75
-157.5	58.17
-157.67	57.58
-158.33	57.25
-159	56.83
-159.92	56.5
-160.5	56
-161.42	55.92
-162.33	55.67
-162.92	55.25
-163.92	55
-164.92	54.58
-164.75	54.33
-163.67	54.67
-162.83	55
-162	55.17
-161.42	55.42
-160.5	55.58
-159.58	55.83
-158.75	56
-158.42	56.42
-157.67	56.67
-156.67	57
-156.17	57.42
-155.25	57.83
-154.33	58.17
-153.83	58.5
-153.33	58.92
-154.08	59.08
-153.83	59.42
-153.08	59.67
-152.5	60.08
-152.25	60.58
-151.67	60.92
-150.67	61.25
-149.92	61.25
-150.42	60.92
-151.33	60.75
-151.42	60.17
-151.92	59.67
-151.42	59.5
-151.92	59.17
-150.92	59.25
-150.17	59.58
-149.5	59.92
-148.67	59.92
-148.17	60.42
-148.33	61
-147.5	60.83
-146.67	60.83
-146	60.58
-145	60.25
-144	60
-143	60
-142	60
-141.08	59.75
-140.25	59.67
-139.67	59.92
-139.5	59.42
-138.67	59.17
-137.92	58.75
-137.25	58.42
-136.5	58.17
-136.17	57.67
-135.5	57.25
-135.17	56.75
-134.75	56.17
-134.75	56.83
-135	57.42
-135	57.92
-135.67	58.25
-135.17	58.25
-135	58.67
-134.67	58.25
-134.67	58.25
-134.75	57.92
-134.5	57.42
-134.5	57
-134	57.25
-133.75	57.58
-133.42	57.25
-133	56.92
-133.83	57.08
-134.33	56.75
-134.17	56.25
-133.67	56.33
-133.67	55.92
-133.42	55.58
-133.08	55.33
-132.5	55.08
-132.08	54.67
-132.08	55.25
-132.58	55.83
-133	56.25
-132.5	56.08
-132	56.08
-132.08	55.75
-131.75	55.33
-131.33	55
-130.75	54.75
-130.08	54.92
-130.42	54.42
-130.17	54.17
-130.75	53.92
-130.33	53.42
-129.75	53.17
-129.17	52.58
-128.42	52.33
-128.17	51.83
-127.75	51.5
-127.75	51.17
-127	50.83
-126.25	50.67
-125.5	50.42
-124.92	50.08
